date,symbol,marketcapname,sector
31-05-2023,MSUMI,Largecap,Auto
02-06-2023,UNIONBANK,Largecap,Bank
02-06-2023,IRB,Largecap,Realty
02-06-2023,NBCC,Midcap,Miscellaneous
05-06-2023,IOB,Largecap,Bank
05-06-2023,CENTRALBK,Largecap,Bank
06-06-2023,BHEL,Largecap,FMCG
06-06-2023,HUDCO,Largecap,Finance
07-06-2023,WELSPUNLIV,Midcap,Textiles
08-06-2023,ALLCARGO,Midcap,Services
08-06-2023,IDEA,Largecap,Telecom
14-06-2023,MOTHERSON,Largecap,Auto
14-06-2023,UJJIVANSFB,Midcap,Bank
15-06-2023,GMRINFRA,Largecap,Realty
15-06-2023,IDFCFIRSTB,Largecap,Bank
16-06-2023,IOC,Largecap,Industrials
19-06-2023,BHEL,Largecap,FMCG
19-06-2023,MRPL,Largecap,Industrials
19-06-2023,TV18BRDCST,Midcap,Media
20-06-2023,INFIBEAM,Midcap,I.T
21-06-2023,UCOBANK,Largecap,Bank
21-06-2023,NETWORK18,Midcap,Media
21-06-2023,CENTRALBK,Largecap,Bank
22-06-2023,PNB,Largecap,Bank
27-06-2023,MOTHERSON,Largecap,Auto
03-07-2023,UNIONBANK,Largecap,Bank
03-07-2023,MAHABANK,Largecap,Bank
04-07-2023,IDBI,Largecap,Bank
04-07-2023,IOB,Largecap,Bank
04-07-2023,PNB,Largecap,Bank
04-07-2023,SUZLON,Largecap,FMCG
05-07-2023,IOC,Largecap,Industrials
06-07-2023,CESC,Midcap,Miscellaneous
06-07-2023,BHEL,Largecap,FMCG
06-07-2023,WELSPUNLIV,Midcap,Textiles
06-07-2023,IRFC,Largecap,Finance
07-07-2023,UJJIVANSFB,Midcap,Bank
11-07-2023,NBCC,Midcap,Miscellaneous
12-07-2023,NHPC,Largecap,Miscellaneous
13-07-2023,HUDCO,Largecap,Finance
14-07-2023,ZOMATO,Largecap,I.T
17-07-2023,MMTC,Midcap,Services
20-07-2023,NSLNISP,Midcap,Metals
20-07-2023,IRCON,Midcap,Realty
20-07-2023,TV18BRDCST,Midcap,Media
20-07-2023,SJVN,Largecap,Miscellaneous
21-07-2023,UCOBANK,Largecap,Bank
21-07-2023,NHPC,Largecap,Miscellaneous
24-07-2023,IRFC,Largecap,Finance
25-07-2023,SUZLON,Largecap,FMCG
26-07-2023,MSUMI,Largecap,Auto
28-07-2023,MMTC,Midcap,Services
01-08-2023,CESC,Midcap,Miscellaneous
01-08-2023,JMFINANCIL,Midcap,Finance
01-08-2023,UJJIVANSFB,Midcap,Bank
01-08-2023,IDFCFIRSTB,Largecap,Bank
02-08-2023,IDBI,Largecap,Bank
02-08-2023,LEMONTREE,Midcap,Services
03-08-2023,RTNINDIA,Midcap,Miscellaneous
09-08-2023,ALOKINDS,Midcap,Textiles
09-08-2023,MAHABANK,Largecap,Bank
10-08-2023,BANKINDIA,Largecap,Bank
11-08-2023,IOB,Largecap,Bank
11-08-2023,TV18BRDCST,Midcap,Media
14-08-2023,CENTRALBK,Largecap,Bank
16-08-2023,UCOBANK,Largecap,Bank
16-08-2023,SUZLON,Largecap,FMCG
18-08-2023,UNIONBANK,Largecap,Bank
21-08-2023,JMFINANCIL,Midcap,Finance
22-08-2023,MRPL,Largecap,Industrials
23-08-2023,NBCC,Midcap,Miscellaneous
23-08-2023,IDFCFIRSTB,Largecap,Bank
24-08-2023,CESC,Midcap,Miscellaneous
24-08-2023,SUZLON,Largecap,FMCG
28-08-2023,HFCL,Midcap,Realty
28-08-2023,IDEA,Largecap,Telecom
31-08-2023,SAIL,Largecap,Metals
31-08-2023,NATIONALUM,Largecap,Metals
31-08-2023,RENUKA,Midcap,FMCG
31-08-2023,SJVN,Largecap,Miscellaneous
01-09-2023,ZOMATO,Largecap,I.T
01-09-2023,IDFCFIRSTB,Largecap,Bank
04-09-2023,JMFINANCIL,Midcap,Finance
04-09-2023,PNB,Largecap,Bank
04-09-2023,IRFC,Largecap,Finance
06-09-2023,IDBI,Largecap,Bank
06-09-2023,BANKINDIA,Largecap,Bank
06-09-2023,NHPC,Largecap,Miscellaneous
11-09-2023,IOB,Largecap,Bank
15-09-2023,UNIONBANK,Largecap,Bank
15-09-2023,NHPC,Largecap,Miscellaneous
25-09-2023,HUDCO,Largecap,Finance
27-09-2023,SUZLON,Largecap,FMCG
06-10-2023,NETWORK18,Midcap,Media
06-10-2023,INFIBEAM,Midcap,I.T
12-10-2023,MRPL,Largecap,Industrials
12-10-2023,NBCC,Midcap,Miscellaneous
13-10-2023,MMTC,Midcap,Services
13-10-2023,NATIONALUM,Largecap,Metals
13-10-2023,TV18BRDCST,Midcap,Media
17-10-2023,MOTHERSON,Largecap,Auto
17-10-2023,ALOKINDS,Midcap,Textiles
17-10-2023,NSLNISP,Midcap,Metals
19-10-2023,SUZLON,Largecap,FMCG
19-10-2023,IRB,Largecap,Realty
02-11-2023,IOC,Largecap,Industrials
02-11-2023,IDEA,Largecap,Telecom
03-11-2023,RTNINDIA,Midcap,Miscellaneous
06-11-2023,SUZLON,Largecap,FMCG
06-11-2023,IRB,Largecap,Realty
06-11-2023,SJVN,Largecap,Miscellaneous
07-11-2023,PNB,Largecap,Bank
08-11-2023,ALOKINDS,Midcap,Textiles
08-11-2023,UJJIVANSFB,Midcap,Bank
08-11-2023,RENUKA,Midcap,FMCG
09-11-2023,CESC,Midcap,Miscellaneous
09-11-2023,HUDCO,Largecap,Finance
09-11-2023,MAHABANK,Largecap,Bank
09-11-2023,NHPC,Largecap,Miscellaneous
12-11-2023,NETWORK18,Midcap,Media
15-11-2023,UCOBANK,Largecap,Bank
15-11-2023,CENTRALBK,Largecap,Bank
15-11-2023,INFIBEAM,Midcap,I.T
16-11-2023,NATIONALUM,Largecap,Metals
17-11-2023,JMFINANCIL,Midcap,Finance
20-11-2023,IRFC,Largecap,Finance
30-11-2023,MOTHERSON,Largecap,Auto
01-12-2023,NBCC,Midcap,Miscellaneous
04-12-2023,PNB,Largecap,Bank
05-12-2023,IOB,Largecap,Bank
05-12-2023,MAHABANK,Largecap,Bank
05-12-2023,CENTRALBK,Largecap,Bank
11-12-2023,ALOKINDS,Midcap,Textiles
11-12-2023,IRB,Largecap,Realty
12-12-2023,TRIDENT,Largecap,Textiles
12-12-2023,IRFC,Largecap,Finance
12-12-2023,INFIBEAM,Midcap,I.T
13-12-2023,YESBANK,Largecap,Bank
18-12-2023,IDEA,Largecap,Telecom
19-12-2023,MSUMI,Largecap,Auto
19-12-2023,TTML,Midcap,Telecom
22-12-2023,IRB,Largecap,Realty
27-12-2023,TV18BRDCST,Midcap,Media
29-12-2023,MOTHERSON,Largecap,Auto
29-12-2023,PNB,Largecap,Bank
01-01-2024,GMRINFRA,Largecap,Realty
03-01-2024,TRIDENT,Largecap,Textiles
03-01-2024,YESBANK,Largecap,Bank
04-01-2024,UCOBANK,Largecap,Bank
04-01-2024,NHPC,Largecap,Miscellaneous
04-01-2024,NBCC,Midcap,Miscellaneous
05-01-2024,MAHABANK,Largecap,Bank
08-01-2024,SUZLON,Largecap,FMCG
08-01-2024,NETWORK18,Midcap,Media
08-01-2024,TV18BRDCST,Midcap,Media
08-01-2024,INFIBEAM,Midcap,I.T
09-01-2024,RTNINDIA,Midcap,Miscellaneous
10-01-2024,IRB,Largecap,Realty
12-01-2024,UJJIVANSFB,Midcap,Bank
15-01-2024,MAHABANK,Largecap,Bank
16-01-2024,NHPC,Largecap,Miscellaneous
17-01-2024,CENTRALBK,Largecap,Bank
17-01-2024,IDFCFIRSTB,Largecap,Bank
