date,symbol,marketcapname,sector
16-06-2023,BCG,Smallcap,I.T
16-06-2023,TTML,Midcap,Telecom
19-06-2023,MRPL,Largecap,Industrials
19-06-2023,ALOKINDS,Midcap,Textiles
19-06-2023,BCG,Smallcap,I.T
19-06-2023,TV18BRDCST,Midcap,Media
20-06-2023,MRPL,Largecap,Industrials
20-06-2023,ALOKINDS,Midcap,Textiles
20-06-2023,BCG,Smallcap,I.T
20-06-2023,INFIBEAM,Midcap,I.T
21-06-2023,MMTC,Midcap,Services
21-06-2023,BCG,Smallcap,I.T
22-06-2023,MOTHERSON,Largecap,Auto
22-06-2023,ALOKINDS,Midcap,Textiles
22-06-2023,BCG,Smallcap,I.T
22-06-2023,IDEA,Largecap,Telecom
27-06-2023,SJVN,Largecap,Miscellaneous
27-06-2023,RTNINDIA,Midcap,Miscellaneous
30-06-2023,BCG,Smallcap,I.T
03-07-2023,BCG,Smallcap,I.T
04-07-2023,SUZLON,Largecap,FMCG
05-07-2023,PNB,Largecap,Bank
05-07-2023,SUZLON,Largecap,FMCG
06-07-2023,BHEL,Largecap,FMCG
06-07-2023,MRPL,Largecap,Industrials
06-07-2023,MOTHERSON,Largecap,Auto
06-07-2023,SJVN,Largecap,Miscellaneous
07-07-2023,MAHABANK,Largecap,Bank
07-07-2023,SJVN,Largecap,Miscellaneous
12-07-2023,IDFCFIRSTB,Largecap,Bank
14-07-2023,ZOMATO,Largecap,I.T
17-07-2023,NATIONALUM,Largecap,Metals
18-07-2023,NATIONALUM,Largecap,Metals
19-07-2023,ALLCARGO,Smallcap,Services
20-07-2023,TTML,Midcap,Telecom
20-07-2023,PNB,Largecap,Bank
20-07-2023,MAHABANK,Largecap,Bank
20-07-2023,TV18BRDCST,Midcap,Media
20-07-2023,SJVN,Largecap,Miscellaneous
21-07-2023,SUZLON,Largecap,FMCG
24-07-2023,IRCON,Largecap,Realty
24-07-2023,MAHABANK,Largecap,Bank
24-07-2023,SUZLON,Largecap,FMCG
24-07-2023,RENUKA,Midcap,FMCG
25-07-2023,GMRINFRA,Largecap,Realty
25-07-2023,NHPC,Largecap,Miscellaneous
25-07-2023,SJVN,Largecap,Miscellaneous
26-07-2023,MSUMI,Largecap,Auto
26-07-2023,SJVN,Largecap,Miscellaneous
27-07-2023,IRCON,Largecap,Realty
27-07-2023,PNB,Largecap,Bank
27-07-2023,IDEA,Largecap,Telecom
28-07-2023,MMTC,Midcap,Services
01-08-2023,MMTC,Midcap,Services
01-08-2023,IRCON,Largecap,Realty
01-08-2023,UJJIVANSFB,Midcap,Bank
01-08-2023,SUZLON,Largecap,FMCG
01-08-2023,NBCC,Largecap,Miscellaneous
01-08-2023,IRFC,Largecap,Finance
02-08-2023,IDBI,Largecap,Bank
02-08-2023,IRFC,Largecap,Finance
03-08-2023,JMFINANCIL,Midcap,Finance
03-08-2023,RTNINDIA,Midcap,Miscellaneous
04-08-2023,IDBI,Largecap,Bank
