date,symbol,marketcapname,sector
17-03-2022,FEDERALBNK,Largecap,Bank
28-03-2022,NLCINDIA,Largecap,Miscellaneous
04-04-2022,IOC,Largecap,Industrials
05-04-2022,SUZLON,Largecap,FMCG
06-04-2022,RENUKA,Midcap,FMCG
27-04-2022,L&TFH,Largecap,Finance
29-04-2022,CESC,Midcap,Miscellaneous
17-05-2022,EQUITASBNK,Midcap,Bank
19-05-2022,MRPL,Largecap,Industrials
31-05-2022,NHPC,Largecap,Miscellaneous
02-06-2022,RENUKA,Midcap,FMCG
28-06-2022,FEDERALBNK,Largecap,Bank
29-06-2022,NHPC,Largecap,Miscellaneous
30-06-2022,RENUKA,Midcap,FMCG
28-07-2022,RECLTD,Largecap,Finance
01-08-2022,RENUKA,Midcap,FMCG
01-08-2022,NHPC,Largecap,Miscellaneous
01-08-2022,RTNINDIA,Midcap,Miscellaneous
02-08-2022,IDFC,Midcap,Finance
02-08-2022,SJVN,Largecap,Miscellaneous
16-08-2022,HUDCO,Largecap,Finance
18-08-2022,RTNINDIA,Midcap,Miscellaneous
25-08-2022,ALLCARGO,Smallcap,Services
25-08-2022,IDFCFIRSTB,Largecap,Bank
26-08-2022,IDFC,Midcap,Finance
26-08-2022,L&TFH,Largecap,Finance
29-08-2022,KARURVYSYA,Midcap,Bank
29-08-2022,IDBI,Largecap,Bank
29-08-2022,NLCINDIA,Largecap,Miscellaneous
30-08-2022,NHPC,Largecap,Miscellaneous
30-08-2022,SJVN,Largecap,Miscellaneous
02-09-2022,IRCON,Largecap,Realty
06-09-2022,NETWORK18,Midcap,Media
06-09-2022,IDFCFIRSTB,Largecap,Bank
07-09-2022,UJJIVANSFB,Midcap,Bank
08-09-2022,CESC,Midcap,Miscellaneous
12-09-2022,GPPL,Midcap,Industrials
16-09-2022,IDBI,Largecap,Bank
19-09-2022,NHPC,Largecap,Miscellaneous
22-09-2022,CENTRALBK,Largecap,Bank
23-09-2022,NMDC,Largecap,Industrials
23-09-2022,NHPC,Largecap,Miscellaneous
07-10-2022,NMDC,Largecap,Industrials
07-10-2022,IRCON,Largecap,Realty
07-10-2022,IDFC,Midcap,Finance
07-10-2022,IDFCFIRSTB,Largecap,Bank
10-10-2022,UJJIVANSFB,Midcap,Bank
10-10-2022,RTNINDIA,Midcap,Miscellaneous
11-10-2022,IDBI,Largecap,Bank
13-10-2022,L&TFH,Largecap,Finance
18-10-2022,NMDC,Largecap,Industrials
18-10-2022,NHPC,Largecap,Miscellaneous
19-10-2022,KARURVYSYA,Midcap,Bank
20-10-2022,IDBI,Largecap,Bank
20-10-2022,SUZLON,Largecap,FMCG
21-10-2022,NCC,Midcap,Realty
21-10-2022,RCF,Midcap,Industrials
21-10-2022,ALLCARGO,Smallcap,Services
25-10-2022,CENTRALBK,Largecap,Bank
27-10-2022,ALLCARGO,Smallcap,Services
28-10-2022,IRCON,Largecap,Realty
28-10-2022,SJVN,Largecap,Miscellaneous
01-11-2022,ALLCARGO,Smallcap,Services
01-11-2022,EQUITASBNK,Midcap,Bank
02-11-2022,GPPL,Midcap,Industrials
04-11-2022,UJJIVANSFB,Midcap,Bank
07-11-2022,JMFINANCIL,Midcap,Finance
07-11-2022,NHPC,Largecap,Miscellaneous
09-11-2022,IDBI,Largecap,Bank
09-11-2022,RTNINDIA,Midcap,Miscellaneous
14-11-2022,ALLCARGO,Smallcap,Services
14-11-2022,NHPC,Largecap,Miscellaneous
16-11-2022,NCC,Midcap,Realty
21-11-2022,IOB,Largecap,Bank
24-11-2022,GMRINFRA,Largecap,Realty
25-11-2022,NLCINDIA,Largecap,Miscellaneous
28-11-2022,UJJIVANSFB,Midcap,Bank
28-11-2022,SUZLON,Largecap,FMCG
28-11-2022,SJVN,Largecap,Miscellaneous
28-11-2022,L&TFH,Largecap,Finance
28-11-2022,EQUITASBNK,Midcap,Bank
29-11-2022,JMFINANCIL,Midcap,Finance
29-11-2022,RENUKA,Midcap,FMCG
29-11-2022,RTNINDIA,Midcap,Miscellaneous
01-12-2022,IDFC,Midcap,Finance
02-12-2022,SAIL,Largecap,Metals
02-12-2022,UJJIVANSFB,Midcap,Bank
02-12-2022,IDFCFIRSTB,Largecap,Bank
07-12-2022,CENTRALBK,Largecap,Bank
08-12-2022,IOB,Largecap,Bank
13-12-2022,NCC,Midcap,Realty
15-12-2022,GAIL,Largecap,Industrials
15-12-2022,IDFC,Midcap,Finance
15-12-2022,GPPL,Midcap,Industrials
15-12-2022,IDFCFIRSTB,Largecap,Bank
16-12-2022,HUDCO,Largecap,Finance
20-12-2022,HUDCO,Largecap,Finance
20-12-2022,RENUKA,Midcap,FMCG
03-01-2023,SAIL,Largecap,Metals
03-01-2023,NCC,Midcap,Realty
03-01-2023,EQUITASBNK,Midcap,Bank
04-01-2023,GAIL,Largecap,Industrials
04-01-2023,IDFC,Midcap,Finance
04-01-2023,RENUKA,Midcap,FMCG
04-01-2023,IDFCFIRSTB,Largecap,Bank
05-01-2023,IOC,Largecap,Industrials
05-01-2023,UJJIVANSFB,Midcap,Bank
09-01-2023,IDBI,Largecap,Bank
09-01-2023,GAIL,Largecap,Industrials
10-01-2023,L&TFH,Largecap,Finance
16-01-2023,IRCON,Largecap,Realty
16-01-2023,GMRINFRA,Largecap,Realty
03-02-2023,UJJIVANSFB,Midcap,Bank
06-02-2023,IDFC,Midcap,Finance
07-02-2023,IDFCFIRSTB,Largecap,Bank
09-02-2023,NCC,Midcap,Realty
10-02-2023,GPPL,Midcap,Industrials
10-02-2023,L&TFH,Largecap,Finance
10-02-2023,EQUITASBNK,Midcap,Bank
22-02-2023,SAIL,Largecap,Metals
24-02-2023,GAIL,Largecap,Industrials
02-03-2023,NATIONALUM,Largecap,Metals
03-03-2023,SAIL,Largecap,Metals
08-03-2023,NCC,Midcap,Realty
08-03-2023,IOC,Largecap,Industrials
09-03-2023,L&TFH,Largecap,Finance
31-03-2023,SJVN,Largecap,Miscellaneous
05-04-2023,GMRINFRA,Largecap,Realty
10-04-2023,EQUITASBNK,Midcap,Bank
04-05-2023,EQUITASBNK,Midcap,Bank
12-05-2023,NATIONALUM,Largecap,Metals
18-05-2023,SUZLON,Largecap,FMCG
19-05-2023,IDBI,Largecap,Bank
23-05-2023,NLCINDIA,Largecap,Miscellaneous
26-05-2023,NSLNISP,Midcap,Metals
29-05-2023,NATIONALUM,Largecap,Metals
29-05-2023,IDFC,Midcap,Finance
29-05-2023,ZOMATO,Largecap,I.T
29-05-2023,IDFCFIRSTB,Largecap,Bank
05-06-2023,IOB,Largecap,Bank
05-06-2023,CENTRALBK,Largecap,Bank
06-06-2023,HUDCO,Largecap,Finance
08-06-2023,ALLCARGO,Smallcap,Services
08-06-2023,IDEA,Largecap,Telecom
08-06-2023,NHPC,Largecap,Miscellaneous
08-06-2023,SJVN,Largecap,Miscellaneous
14-06-2023,UJJIVANSFB,Midcap,Bank
15-06-2023,GMRINFRA,Largecap,Realty
15-06-2023,IDFCFIRSTB,Largecap,Bank
16-06-2023,IOC,Largecap,Industrials
19-06-2023,MRPL,Largecap,Industrials
21-06-2023,NETWORK18,Midcap,Media
21-06-2023,CENTRALBK,Largecap,Bank
04-07-2023,IDBI,Largecap,Bank
04-07-2023,IOB,Largecap,Bank
04-07-2023,SUZLON,Largecap,FMCG
04-07-2023,EQUITASBNK,Midcap,Bank
05-07-2023,IOC,Largecap,Industrials
06-07-2023,CESC,Midcap,Miscellaneous
06-07-2023,IRFC,Largecap,Finance
07-07-2023,UJJIVANSFB,Midcap,Bank
07-07-2023,NHPC,Largecap,Miscellaneous
12-07-2023,NHPC,Largecap,Miscellaneous
13-07-2023,HUDCO,Largecap,Finance
13-07-2023,NATIONALUM,Largecap,Metals
14-07-2023,ZOMATO,Largecap,I.T
17-07-2023,MMTC,Midcap,Services
17-07-2023,RTNINDIA,Midcap,Miscellaneous
19-07-2023,NETWORK18,Midcap,Media
20-07-2023,NSLNISP,Midcap,Metals
