date,symbol,marketcapname,sector
12-07-2023,NHPC,Largecap,Miscellaneous
17-07-2023,MMTC,Midcap,Services
17-07-2023,RTNINDIA,Midcap,Miscellaneous
20-07-2023,NSLNISP,Midcap,Metals
20-07-2023,IDEA,Largecap,Telecom
20-07-2023,SJVN,Largecap,Miscellaneous
21-07-2023,NHPC,Largecap,Miscellaneous
24-07-2023,IRFC,Largecap,Finance
25-07-2023,SUZLON,Largecap,FMCG
25-07-2023,GMRINFRA,Largecap,Realty
28-07-2023,MMTC,Midcap,Services
01-08-2023,UJJIVANSFB,Midcap,Bank
03-08-2023,RTNINDIA,Midcap,Miscellaneous
07-08-2023,IDEA,Largecap,Telecom
09-08-2023,ALOKINDS,Midcap,Textiles
11-08-2023,IOB,Largecap,Bank
14-08-2023,CENTRALBK,Largecap,Bank
16-08-2023,SUZLON,Largecap,FMCG
23-08-2023,MMTC,Midcap,Services
24-08-2023,SUZLON,Largecap,FMCG
28-08-2023,IDEA,Largecap,Telecom
31-08-2023,RENUKA,Midcap,FMCG
05-09-2023,CENTRALBK,Largecap,Bank
11-09-2023,IOB,Largecap,Bank
27-09-2023,SUZLON,Largecap,FMCG
04-10-2023,SUZLON,Largecap,FMCG
17-10-2023,ALOKINDS,Midcap,Textiles
19-10-2023,SUZLON,Largecap,FMCG
02-11-2023,IDEA,Largecap,Telecom
06-11-2023,SUZLON,Largecap,FMCG
08-11-2023,ALOKINDS,Midcap,Textiles
15-11-2023,IOB,Largecap,Bank
15-11-2023,CENTRALBK,Largecap,Bank
05-12-2023,IOB,Largecap,Bank
05-12-2023,CENTRALBK,Largecap,Bank
11-12-2023,ALOKINDS,Midcap,Textiles
18-12-2023,IDEA,Largecap,Telecom
01-01-2024,IDEA,Largecap,Telecom
03-01-2024,ALOKINDS,Midcap,Textiles
08-01-2024,SUZLON,Largecap,FMCG
23-01-2024,IOB,Largecap,Bank
25-01-2024,IOB,Largecap,Bank
01-02-2024,SUZLON,Largecap,FMCG
12-02-2024,IDEA,Largecap,Telecom
14-02-2024,IDEA,Largecap,Telecom
22-02-2024,RENUKA,Midcap,FMCG
